,birth,death,gender,level1_main_occ,name,un_subregion,bigperiod_birth_graph_b,level2_main_occ,level2_second_occ,level3_main_occ,citizenship_1_b,area1_of_rattachment,un_region
36,1900.0,1944.0,Female,Other,Elisabeth_Lange,Western Europe,4.Mid Modern Period 1751-1900AD,Other,Politics,hausfrau,Germany,Old_(before_year_1990_AD)_Germany,Europe
37,1871.0,,Male,Other,Louis_RÃ¼hl,Western Europe,4.Mid Modern Period 1751-1900AD,Worker/Business (small),Corporate/Executive/Business (large),brauer,Germany,Old_(before_year_1990_AD)_Germany,Europe
38,1844.0,1911.0,Male,Leadership,James_P._Latta,Northern America,4.Mid Modern Period 1751-1900AD,Politics,Missing,politician,US,US,America
39,1984.0,2007.0,Male,Culture,Clemens_Ostermann,Western Europe,5.Contemporary period 1901-2020AD,Culture-core,Missing,actor,Germany,Germany,Europe
40,1928.0,2005.0,Male,Sports/Games,Karl-Heinz_Singer,Western Europe,5.Contemporary period 1901-2020AD,Sports/Games,Missing,football,Germany,Germany,Europe
41,1927.0,,Male,Sports/Games,Halvor_NÃ¦s,Northern Europe,5.Contemporary period 1901-2020AD,Sports/Games,Missing,ski,Norway,Norway,Europe
42,1940.0,,Male,Discovery/Science,Thomas_A._SzlezÃ¡k,Western Europe,5.Contemporary period 1901-2020AD,Academia,Missing,philologist,Germany,Old_(before_year_1990_AD)_Germany,Europe
43,1946.0,,Male,Discovery/Science,Mariusz_ZiÃ³Åko,Eastern Europe,5.Contemporary period 1901-2020AD,Academia,Explorer/Inventor/Developer,professor,Poland,Poland,Europe
44,1879.0,1948.0,Male,Culture,Conrad_Keller_(Bildhauer),Western Europe,4.Mid Modern Period 1751-1900AD,Culture-core,Worker/Business (small),sculptor,Germany,Old_(before_year_1990_AD)_Germany,Europe
45,1984.0,,Male,Sports/Games,Miguel_Molina_(swimmer),SouthEast Asia,5.Contemporary period 1901-2020AD,Sports/Games,Missing,swimmer,Philippines,Philippines,Asia
46,1943.0,2009.0,Male,Culture,JÃ¶rg_Hube,Western Europe,5.Contemporary period 1901-2020AD,Culture-core,Missing,artist,Germany,Germany,Europe
47,1898.0,1987.0,Male,Leadership,Wilhelm_Rohwedder,Western Europe,4.Mid Modern Period 1751-1900AD,Politics,Worker/Business (small),politician,Germany,Old_(before_year_1990_AD)_Germany,Europe
48,1722.0,1792.0,Male,Leadership,Otto_Hermann_von_Vietinghoff,Eastern Europe,3.Early Modern Period 1501-1750AD,Politics,Nobility,politician,Russia,Old_(before_year_1990_AD)_Russia,Europe
49,,,Male,Culture,Tracy_Adams,Northern America,5.Contemporary period 1901-2020AD,Culture-core,Missing,film,US,US,America
50,1922.0,2001.0,Male,Sports/Games,Klaus_Wagner_(equestrian),Western Europe,5.Contemporary period 1901-2020AD,Sports/Games,Missing,equestrian,Germany,Germany,Europe
51,1979.0,,Male,Sports/Games,"Fred_(footballer,_born_1979)",South America,5.Contemporary period 1901-2020AD,Sports/Games,Missing,football,Brazil,Brazil,America
52,1971.0,,Male,Sports/Games,Alfred_Ter-Mkrtychyan,Eastern Europe,5.Contemporary period 1901-2020AD,Sports/Games,Missing,wrestler,Russia,Russia,Europe
53,1955.0,,Male,Culture,Frank_Lienert-Mondanelli,Western Europe,5.Contemporary period 1901-2020AD,Culture-core,Academia,actor,Germany,Germany,Europe
54,1632.0,1707.0,Male,Culture,Kaspar_von_Stieler,Western Europe,3.Early Modern Period 1501-1750AD,Culture-core,Missing,writer,Germany,Old_(before_year_1990_AD)_Germany,Europe
55,1962.0,,Female,Leadership,Isabella_Kossina,Western Europe,5.Contemporary period 1901-2020AD,Politics,Missing,politician,Austria,Austria,Europe
56,1926.0,2020.0,Male,Leadership,Tom_O'Donnell,Western Europe,5.Contemporary period 1901-2020AD,Politics,Culture-periphery,politician,Ireland,Ireland,Europe
57,1944.0,,Male,Leadership,Wulf-Dietrich_Kavasch,Western Europe,5.Contemporary period 1901-2020AD,Politics,Academia,politician,Germany,Germany,Europe
58,1958.0,,Female,Culture,Florina_Gillnik,Western Europe,5.Contemporary period 1901-2020AD,Culture-core,Missing,dancer,Germany,Germany,Europe
59,1748.0,1825.0,Male,Culture,Heinrich_Wilhelm_LawÃ¤tz,Western Europe,3.Early Modern Period 1501-1750AD,Culture-core,Administration/Law,playwright,Germany,Old_(before_year_1990_AD)_Germany,Europe
60,1965.0,,Male,Leadership,Alexander_Eisvogel,Western Europe,5.Contemporary period 1901-2020AD,Administration/Law,Missing,lawyer,Germany,Germany,Europe
61,1928.0,2005.0,Male,Leadership,Lothar_Curdt,Western Europe,5.Contemporary period 1901-2020AD,Politics,Missing,politician,Germany,Germany,Europe
62,1950.0,,Male,Discovery/Science,Rainer_Neu,Western Europe,5.Contemporary period 1901-2020AD,Academia,Missing,theologian,Germany,Germany,Europe
63,1800.0,1840.0,Male,Culture,Franz_von_Gaudy,Western Europe,4.Mid Modern Period 1751-1900AD,Culture-core,Missing,poet,Germany,Old_(before_year_1990_AD)_Germany,Europe
64,1931.0,,Male,Leadership,"Rudolf_Krause_(Politiker,_1931)",Western Europe,5.Contemporary period 1901-2020AD,Politics,Missing,politician,Germany,Old_(before_year_1990_AD)_Germany,Europe
65,1926.0,2020.0,Male,Culture,Bucky_Pizzarelli,Northern America,5.Contemporary period 1901-2020AD,Culture-core,Family,guitar,US,US,America
66,1929.0,2010.0,Male,Culture,Ferdinand_Oyono,Central Africa,5.Contemporary period 1901-2020AD,Culture-core,Administration/Law,writer,Cameroon,Cameroon,Africa
67,1830.0,1900.0,Male,Other,Carl_Eduard_Schubert,Western Europe,4.Mid Modern Period 1751-1900AD,Worker/Business (small),Missing,organbuilder,Germany,Old_(before_year_1990_AD)_Germany,Europe
68,1798.0,1869.0,Male,Leadership,Ferdinand_Mayerhofer_von_GrÃ¼nbÃ¼hel,Western Europe,4.Mid Modern Period 1751-1900AD,Military,Missing,officer,Austria,Old_(before_year_1955_AD)_Austria,Europe
69,-95.0,,Male,Leadership,Tiraios_I,Western Asia (Middle East Caucasus),1.Ancient History Before 500AD,Nobility,Missing,king,Iran,Old_(before_year_1979_AD)_Iran,Asia
70,1935.0,,Male,Culture,Georges_Ferdinandy,Eastern Europe,5.Contemporary period 1901-2020AD,Culture-core,Worker/Business (small),writer,Hungary,Hungary,Europe
71,1937.0,,Male,Sports/Games,Ed_Meador,Northern America,5.Contemporary period 1901-2020AD,Sports/Games,Missing,football,US,US,America
72,1873.0,1960.0,Male,Leadership,Gyula_Ferdinandy,Eastern Europe,4.Mid Modern Period 1751-1900AD,Politics,Administration/Law,politician,Hungary,Hungary,Europe
73,1912.0,1993.0,Male,Discovery/Science,Michael_de_Ferdinandy,Eastern Europe,5.Contemporary period 1901-2020AD,Academia,Missing,historian,Hungary,Hungary,Europe
74,1962.0,,Male,Leadership,Larry_Augustin,Northern America,5.Contemporary period 1901-2020AD,Corporate/Executive/Business (large),Explorer/Inventor/Developer,capitalist,US,US,America
75,1954.0,,Male,Culture,Peter_Buchholz_(Schauspieler),Western Europe,5.Contemporary period 1901-2020AD,Culture-core,Missing,actor,Germany,Germany,Europe
76,1875.0,1950.0,Male,Culture,Charles_RousseliÃ¨re,Western Europe,4.Mid Modern Period 1751-1900AD,Culture-core,Missing,opera,France,France,Europe
77,1983.0,,Male,Sports/Games,Li_Fei_(footballer),Eastern Asia,5.Contemporary period 1901-2020AD,Sports/Games,Missing,football,China,China,Asia
78,1984.0,,Male,Sports/Games,Peter_Sweeney,Western Europe,5.Contemporary period 1901-2020AD,Sports/Games,Missing,football,United_Kingdom,United_Kingdom,Europe
79,1927.0,2005.0,Male,Leadership,Bud_Cullen,Northern America,5.Contemporary period 1901-2020AD,Administration/Law,Politics,lawyer,Canada,Canada,America
80,1926.0,,Male,Leadership,Hermann_Klenner,Western Europe,5.Contemporary period 1901-2020AD,Politics,Administration/Law,politician,Germany,Old_(before_year_1990_AD)_Germany,Europe
81,1947.0,,Male,Sports/Games,Bud_Gulka,Northern America,5.Contemporary period 1901-2020AD,Sports/Games,Missing,hockey,Canada,Canada,America
82,1885.0,1954.0,Male,Culture,Bud_Fisher,Northern America,4.Mid Modern Period 1751-1900AD,Culture-core,Missing,film,US,US,America
83,1926.0,,Male,Leadership,Walter_Ivan_de_Azevedo,South America,5.Contemporary period 1901-2020AD,Religious,Missing,priest,Brazil,Brazil,America
84,1929.0,2016.0,Male,Sports/Games,Bud_Collins,Northern America,5.Contemporary period 1901-2020AD,Sports/Games,Culture-periphery,sport,US,US,America
85,1926.0,2010.0,Male,Culture,Bud_Greenspan,Northern America,5.Contemporary period 1901-2020AD,Culture-core,Missing,film,US,US,America
86,1925.0,2002.0,Male,Leadership,Bud_Olson,Northern America,5.Contemporary period 1901-2020AD,Politics,Worker/Business (small),politician,Canada,Canada,America
87,1955.0,,Male,Culture,Bud_Lee,Northern America,5.Contemporary period 1901-2020AD,Culture-core,Missing,film,US,US,America
88,1065.0,1114.0,Male,Leadership,Hugh_of_Flavigny,Western Europe,2.Post-Classical History 501-1500AD,Religious,Academia,benedictine,France,France,Europe
89,1988.0,,Male,Sports/Games,Bud_Holloway,Northern America,5.Contemporary period 1901-2020AD,Sports/Games,Missing,hockey,Canada,Canada,America
90,1914.0,1991.0,Male,Sports/Games,Bud_Rose,Northern America,5.Contemporary period 1901-2020AD,Sports/Games,Worker/Business (small),driver,US,US,America
91,1890.0,1949.0,Male,Culture,Bud_Scott,Northern America,4.Mid Modern Period 1751-1900AD,Culture-core,Missing,banjoist,US,US,America
92,1912.0,2003.0,Male,Sports/Games,Bud_Sennett,Northern America,5.Contemporary period 1901-2020AD,Sports/Games,Culture-core,driver,US,US,America
93,1991.0,,Male,Sports/Games,JÃ¡nos_Ferenczi,Eastern Europe,5.Contemporary period 1901-2020AD,Sports/Games,Missing,football,Hungary,Hungary,Europe
94,1964.0,,Female,Discovery/Science,Christina_Kauschke,Western Europe,5.Contemporary period 1901-2020AD,Academia,Missing,linguist,Germany,Germany,Europe
95,1726.0,1819.0,Male,Leadership,Friedrich_von_Romberg,,3.Early Modern Period 1501-1750AD,Corporate/Executive/Business (large),Other,business,,Missing,
96,1903.0,1990.0,Male,Culture,Bud_Thackery,Northern America,5.Contemporary period 1901-2020AD,Culture-core,Worker/Business (small),cinema,US,US,America
97,1924.0,2005.0,Male,Sports/Games,Bud_Poile,Northern America,5.Contemporary period 1901-2020AD,Sports/Games,Missing,hockey,Canada,Canada,America
98,1743.0,1841.0,Male,Discovery/Science,Jakob_Friedrich_RÃ¶sch,Western Europe,3.Early Modern Period 1501-1750AD,Academia,Culture-periphery,mathematician,Germany,Old_(before_year_1990_AD)_Germany,Europe
99,1955.0,,Male,Culture,Chiharu_Matsuyama,Eastern Asia,5.Contemporary period 1901-2020AD,Culture-core,Missing,singer,Japan,Japan,Asia
100,1988.0,,Male,Sports/Games,Tyson_Fury,Western Europe,5.Contemporary period 1901-2020AD,Sports/Games,Missing,boxer,United_Kingdom,United_Kingdom,Europe
101,1898.0,1946.0,Male,Leadership,LÃ¡szlÃ³_Ferenczy,Eastern Europe,4.Mid Modern Period 1751-1900AD,Military,Administration/Law,officer,Hungary,Hungary,Europe
102,1890.0,1957.0,Female,Culture,NoÃ©mi_Ferenczy,Western Europe,4.Mid Modern Period 1751-1900AD,Culture-core,Academia,painter,Austria-Hungary,Austria-Hungary,Europe
103,1836.0,1885.0,Male,Leadership,Godai_Tomoatsu,Eastern Asia,4.Mid Modern Period 1751-1900AD,Corporate/Executive/Business (large),Military,entrepreneur,Japan,Old_(before_year_1947_AD)_Japan,Asia
104,1885.0,1954.0,Male,Culture,ValÃ©r_Ferenczy,Eastern Europe,4.Mid Modern Period 1751-1900AD,Culture-core,Missing,painter,Hungary,Hungary,Europe
105,1877.0,1930.0,Male,Culture,ÃrpÃ¡d_Ferenczy,Eastern Europe,4.Mid Modern Period 1751-1900AD,Culture-periphery,Administration/Law,journalist,Hungary,Hungary,Europe
106,1952.0,1971.0,Female,Culture,Sonja_Gerstner,Western Europe,5.Contemporary period 1901-2020AD,Culture-core,Family,writer,Germany,Old_(before_year_1990_AD)_Germany,Europe
107,1931.0,,Female,Discovery/Science,Zsuzsa_Ferge,Eastern Europe,5.Contemporary period 1901-2020AD,Academia,Missing,sociologist,Hungary,Hungary,Europe
108,1958.0,,Male,Culture,Hiroshi_Yanaka,Eastern Asia,5.Contemporary period 1901-2020AD,Culture-core,Missing,actor,Japan,Japan,Asia
109,1968.0,,Male,Sports/Games,Attila_Feri,Eastern Europe,5.Contemporary period 1901-2020AD,Sports/Games,Missing,weightlifter,Hungary,Hungary,Europe
110,1991.0,,Female,Sports/Games,Ragnhild_Haga,Northern Europe,5.Contemporary period 1901-2020AD,Sports/Games,Missing,skier,Norway,Norway,Europe
111,1957.0,,Male,Culture,Steffen_GrÃ¤bner,Western Europe,5.Contemporary period 1901-2020AD,Culture-core,Missing,actor,Germany,Germany,Europe
112,1777.0,1844.0,Male,Leadership,Oluf_Borch_de_Schouboe,Northern Europe,4.Mid Modern Period 1751-1900AD,Politics,Administration/Law,politician,Norway,Old_(before_year_1905_AD)_Norway,Europe
113,1987.0,,Male,Sports/Games,Csaba_FerkÃ³,Eastern Europe,5.Contemporary period 1901-2020AD,Sports/Games,Missing,football,Hungary,Hungary,Europe
114,1982.0,,Female,Sports/Games,Holly_Brooks,Northern America,5.Contemporary period 1901-2020AD,Sports/Games,Missing,skier,US,US,America
115,1984.0,,Male,Sports/Games,Lukas_Grauwiler,Western Europe,5.Contemporary period 1901-2020AD,Sports/Games,Missing,hockey,Switzerland,Switzerland,Europe
116,1958.0,,Male,Culture,Herbert_Sklenka,Western Europe,5.Contemporary period 1901-2020AD,Culture-core,Culture-periphery,writer,Austria,Austria,Europe
117,1967.0,,Male,Sports/Games,Randy_McKay,Northern America,5.Contemporary period 1901-2020AD,Sports/Games,Missing,hockey,Canada,Canada,America
118,1913.0,1987.0,Male,Discovery/Science,Kurt_E._Koch,Western Europe,5.Contemporary period 1901-2020AD,Academia,Culture-core,theologian,Germany,Old_(before_year_1990_AD)_Germany,Europe
119,1965.0,,Male,Culture,Fernando_Carrillo,South America,5.Contemporary period 1901-2020AD,Culture-core,Culture-periphery,singer,Venezuela,Venezuela,America
120,1945.0,2011.0,Male,Culture,Karl_Otto_Henseling,Western Europe,5.Contemporary period 1901-2020AD,Culture-core,Academia,writer,Germany,Germany,Europe
121,1963.0,,Male,Sports/Games,Fernando_Tamayo_(Ã¡rbitro),South America,5.Contemporary period 1901-2020AD,Sports/Games,Missing,football,Ecuador,Ecuador,America
122,1861.0,1940.0,Male,Culture,Gustav_Mucke,Western Europe,4.Mid Modern Period 1751-1900AD,Culture-periphery,Missing,architect,Germany,Old_(before_year_1990_AD)_Germany,Europe
123,1930.0,2015.0,Male,Leadership,GÃ¼nther_Jahn,Western Europe,5.Contemporary period 1901-2020AD,Politics,Missing,politician,Germany,Germany,Europe
124,1491.0,1521.0,Male,Leadership,Zhengde_Emperor,Eastern Asia,2.Post-Classical History 501-1500AD,Nobility,Politics,empereur,China,Old_(before_year_1949_AD)_China,Asia
125,1982.0,,Female,Sports/Games,Kikkan_Randall,Northern America,5.Contemporary period 1901-2020AD,Sports/Games,Missing,skier,US,US,America
126,1330.0,1394.0,Male,Leadership,Eberhard_(ZweibrÃ¼cken),Western Europe,2.Post-Classical History 501-1500AD,Nobility,Missing,graf,Germany,Old_(before_year_1990_AD)_Germany,Europe
127,1777.0,1861.0,Male,Leadership,Rudolf_Sigmund_von_Holzschuher,Western Europe,4.Mid Modern Period 1751-1900AD,Politics,Administration/Law,politician,Germany,Old_(before_year_1990_AD)_Germany,Europe
128,1825.0,1908.0,Male,Leadership,Charles_Baud,Western Europe,4.Mid Modern Period 1751-1900AD,Politics,Missing,politician,Switzerland,Switzerland,Europe
129,1955.0,,Male,Sports/Games,GÃ¼nther_Alster,Western Europe,5.Contemporary period 1901-2020AD,Sports/Games,Missing,skier,Austria,Austria,Europe
130,1930.0,,Male,Sports/Games,Budd_Porter,Northern America,5.Contemporary period 1901-2020AD,Sports/Games,Missing,badminton,Canada,Canada,America
131,1898.0,1974.0,Male,Culture,Ferreira_de_Castro,Southern Europe,4.Mid Modern Period 1751-1900AD,Culture-core,Culture-periphery,writer,Portugal,Portugal,Europe
132,1881.0,1935.0,Male,Culture,Leberecht_Migge,Western Europe,4.Mid Modern Period 1751-1900AD,Culture-periphery,Culture-core,architect,Germany,Old_(before_year_1990_AD)_Germany,Europe
133,1910.0,2003.0,Male,Other,Dirk_Andries_Flentrop,Western Europe,5.Contemporary period 1901-2020AD,Worker/Business (small),Culture-core,organbuilder,Netherlands,Netherlands,Europe
134,1935.0,2002.0,Male,Culture,Heinz_Jankofsky,Western Europe,5.Contemporary period 1901-2020AD,Culture-periphery,Missing,caricaturist,Germany,Germany,Europe
135,1991.0,,Female,Sports/Games,Jessica_Diggins,Northern America,5.Contemporary period 1901-2020AD,Sports/Games,Missing,skier,US,US,America
136,1960.0,,Male,Sports/Games,JÃ¼rgen_Koffler,Western Europe,5.Contemporary period 1901-2020AD,Sports/Games,Missing,athletic,Germany,Germany,Europe
137,1981.0,,Male,Culture,Jona_Mues,Western Europe,5.Contemporary period 1901-2020AD,Culture-core,Missing,actor,Germany,Germany,Europe
138,1987.0,,Female,Sports/Games,Liz_Stephen,Northern America,5.Contemporary period 1901-2020AD,Sports/Games,Missing,skier,US,US,America
139,1919.0,2009.0,Male,Leadership,Nikolaos_Makarezos,Southern Europe,5.Contemporary period 1901-2020AD,Military,Missing,army,Greece,Greece,Europe
140,1940.0,2020.0,Male,Culture,Buddha_Scheidegger,Western Europe,5.Contemporary period 1901-2020AD,Culture-core,Administration/Law,pianist,Switzerland,Switzerland,Europe
141,1991.0,,Male,Sports/Games,John_Jenkins_(basketball),Northern America,5.Contemporary period 1901-2020AD,Sports/Games,Missing,basket,US,US,America
142,1869.0,1949.0,Male,Leadership,Herbert_Greenfield,Northern America,4.Mid Modern Period 1751-1900AD,Politics,Worker/Business (small),politician,Canada,Canada,America
143,1946.0,,Male,Leadership,Heinz_Bierbaum,Western Europe,5.Contemporary period 1901-2020AD,Politics,Academia,politician,Germany,Germany,Europe
144,1935.0,,Male,Leadership,HansjÃ¶rg_Wyss,Western Europe,5.Contemporary period 1901-2020AD,Corporate/Executive/Business (large),Other,entrepreneur,Switzerland,Switzerland,Europe
145,1902.0,1971.0,Male,Leadership,Johannes_Ising,Western Europe,5.Contemporary period 1901-2020AD,Politics,Missing,politician,Germany,Old_(before_year_1990_AD)_Germany,Europe
146,1943.0,2007.0,Male,Sports/Games,LÃ¡szlÃ³_Sillai,Eastern Europe,5.Contemporary period 1901-2020AD,Sports/Games,Missing,wrestler,Hungary,Hungary,Europe
147,1931.0,,Male,Leadership,Patrick_Walsh_(bishop_of_Down_and_Connor),Western Europe,5.Contemporary period 1901-2020AD,Religious,Missing,priest,United_Kingdom,United_Kingdom,Europe
148,1944.0,,Male,Leadership,Buddhadeb_Bhattacharjee,South Asia incl. Indian Peninsula,5.Contemporary period 1901-2020AD,Politics,Missing,politician,India,India,Asia
149,1833.0,1898.0,Male,Leadership,Stephen_A._Northway,Northern America,4.Mid Modern Period 1751-1900AD,Politics,Administration/Law,politician,US,US,America
150,1930.0,,Male,Sports/Games,Christian_Poirot,Western Europe,5.Contemporary period 1901-2020AD,Sports/Games,Missing,driver,France,France,Europe
151,1976.0,,Male,Culture,Pjotr_Wiktorowitsch_Buslow,Eastern Europe,5.Contemporary period 1901-2020AD,Culture-core,Missing,film,Russia,Russia,Europe
152,1903.0,1981.0,Male,Culture,Paul_Mathias_Padua,Western Europe,5.Contemporary period 1901-2020AD,Culture-core,Politics,painter,Germany,Old_(before_year_1990_AD)_Germany,Europe
153,1388.0,1428.0,Male,Leadership,"Thomas_Montagu,_4th_Earl_of_Salisbury",Western Europe,2.Post-Classical History 501-1500AD,Nobility,Military,noble,United_Kingdom,United_Kingdom,Europe
154,1985.0,,Male,Sports/Games,Stilian_Makarski,Eastern Europe,5.Contemporary period 1901-2020AD,Sports/Games,Missing,badminton,Bulgaria,Bulgaria,Europe
155,1960.0,,Male,Culture,Roger_Morris_(English_writer),Western Europe,5.Contemporary period 1901-2020AD,Culture-core,Culture-periphery,writer,United_Kingdom,United_Kingdom,Europe
156,1886.0,1970.0,Male,Culture,Albert_Brosch,Western Europe,4.Mid Modern Period 1751-1900AD,Culture-periphery,Worker/Business (small),editor,Germany,Old_(before_year_1990_AD)_Germany,Europe
157,1964.0,,Male,Culture,Piotr_Trzaskalski,Eastern Europe,5.Contemporary period 1901-2020AD,Culture-core,Missing,film,Poland,Poland,Europe
158,1924.0,2019.0,Male,Discovery/Science,Gert_Haendler,Western Europe,5.Contemporary period 1901-2020AD,Academia,Missing,historian,Germany,Germany,Europe
159,,,Male,Leadership,Sekhemrekhutawy_Khabaw,North Africa,1.Ancient History Before 500AD,Nobility,Politics,king,Egypt,Egypt,Africa
160,1764.0,1847.0,Male,Discovery/Science,Imre_Festetics,Western Europe,4.Mid Modern Period 1751-1900AD,Academia,Sports/Games,geneticist,Austria-Hungary,Austria-Hungary,Europe
161,1892.0,1968.0,Male,Discovery/Science,Charles_Christian_Lauritsen,Northern America,4.Mid Modern Period 1751-1900AD,Academia,Missing,physicist,US,US,America
162,1755.0,1819.0,Male,Other,GyÃ¶rgy_Festetics_(Landwirt),Eastern Europe,4.Mid Modern Period 1751-1900AD,Worker/Business (small),Politics,farmer,Hungary,Hungary,Europe
